arm,profile,success,certainty_score,successes_agebin_overall,successes_agein5_overall,successes_sex_overall,successes_income_overall,successes_agebin_answered,successes_agein5_answered,successes_sex_answered,successes_income_answered,trials_overall,trials_answered_sex,trials_answered_age,trials_answered_income
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers4,True,3.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers87,True,3.0,0,0,1,0,0.0,0.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers93,True,3.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers180,True,2.0,0,0,0,1,0.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers290,True,3.0,1,0,1,0,1.0,0.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers89,True,3.0,0,0,1,0,0.0,0.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers188,True,3.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers148,True,2.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers268,True,3.0,0,0,1,0,0.0,0.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers51,True,3.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers61,True,2.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers110,True,3.0,1,0,0,1,1.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers288,True,3.0,0,0,1,0,0.0,0.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers270,True,3.0,0,0,1,0,0.0,0.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers192,True,3.0,0,0,0,1,0.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers81,True,3.0,1,1,0,0,1.0,1.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers168,True,2.0,0,0,0,1,0.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers69,True,3.0,0,0,1,0,0.0,0.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers77,True,3.0,0,0,0,1,0.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers11,True,2.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers6,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers13,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers41,True,3.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers225,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers124,True,3.0,1,0,0,1,1.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers182,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers266,True,2.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers65,True,2.0,1,1,0,0,1.0,1.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers103,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers256,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers152,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers97,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers201,True,2.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers164,True,2.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers237,True,3.0,1,1,1,0,1.0,1.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers75,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers286,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers140,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers300,True,2.0,1,1,0,0,1.0,1.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers106,True,3.0,1,1,1,0,1.0,1.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers138,True,3.0,1,1,0,0,1.0,1.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers71,True,2.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers35,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers27,True,2.0,0,0,0,1,0.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers15,True,3.0,1,1,0,0,1.0,1.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers40,True,3.0,0,0,0,1,0.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers296,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers174,True,3.0,0,0,0,1,0.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers298,True,3.0,0,0,0,1,0.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers284,True,3.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers99,True,3.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers217,True,3.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers172,True,2.0,0,0,0,1,0.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers184,True,3.0,0,0,0,1,0.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers264,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers67,True,3.0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers166,True,3.0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers194,True,3.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers198,True,2.0,0,0,1,0,0.0,0.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers53,True,3.0,0,0,0,1,0.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers229,True,2.0,0,0,0,1,0.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers249,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers241,True,3.0,0,0,0,1,0.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers170,True,2.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers178,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
