profile,true_age,true_income,true_sex
pers1,31,high,male
pers2,45,middle,female
pers3,19,low,male
pers4,55,middle,male
pers5,35,high,female
pers6,27,middle,male
pers7,48,middle,female
pers8,22,low,female
pers9,61,low,male
pers10,33,high,female
pers11,28,middle,male
pers12,42,high,female
pers13,25,middle,male
pers14,50,high,female
pers15,37,middle,male
pers16,29,middle,female
pers17,45,high,male
pers18,39,high,female
pers19,23,low,male
pers20,56,middle,female
pers21,29,high,male
pers22,26,middle,female
pers23,52,high,male
pers24,68,high,male
pers25,24,middle,female
pers26,37,middle,female
pers27,50,middle,male
pers28,33,high,male
pers29,27,middle,female
pers30,62,high,male
pers31,41,middle,female
pers32,58,middle,female
pers33,23,low,male
pers34,47,middle,female
pers35,36,middle,male
pers36,55,middle,female
pers37,30,middle,female
pers38,21,low,male
pers39,39,middle,female
pers40,51,middle,male
pers41,27,middle,male
pers42,28,high,female
pers43,35,middle,male
pers44,40,middle,female
pers45,26,low,male
pers46,22,low,female
pers47,50,middle,male
pers48,60,high,female
pers49,45,high,male
pers50,36,middle,female
pers51,55,middle,male
pers52,23,low,female
pers53,46,middle,male
pers54,72,middle,female
pers55,30,high,male
pers56,25,middle,female
pers57,40,high,male
pers58,55,middle,female
pers59,35,high,male
pers60,45,high,female
pers61,60,middle,male
pers62,32,high,female
pers63,52,middle,male
pers64,21,low,female
pers65,33,middle,male
pers66,24,low,female
pers67,41,middle,male
pers68,44,middle,female
pers69,65,middle,male
pers70,31,middle,female
pers71,29,middle,male
pers72,57,high,female
pers73,46,middle,male
pers74,52,middle,female
pers75,27,middle,male
pers76,24,low,female
pers77,58,middle,male
pers78,33,middle,female
pers79,40,high,male
pers80,37,high,female
pers81,66,middle,male
pers82,52,high,female
pers83,46,high,male
pers84,28,middle,female
pers85,30,high,male
pers86,49,high,female
pers87,55,middle,male
pers88,38,middle,female
pers89,62,middle,male
pers90,31,high,female
pers91,58,high,male
pers92,26,low,female
pers93,70,middle,male
pers94,33,middle,female
pers95,47,high,male
pers96,28,middle,female
pers97,31,middle,male
pers98,55,high,female
pers99,46,middle,male
pers100,22,low,female
pers101,35,high,female
pers102,48,high,male
pers103,27,middle,male
pers104,22,low,female
pers105,28,middle,female
pers106,30,middle,male
pers107,37,high,male
pers108,41,high,female
pers109,33,middle,female
pers110,75,middle,male
pers111,50,high,male
pers112,19,low,female
pers113,42,high,female
pers114,55,high,male
pers115,24,low,male
pers116,67,low,female
pers117,45,high,male
pers118,38,high,female
pers119,70,low,female
pers120,51,high,male
pers121,28,high,female
pers122,23,low,male
pers123,33,middle,female
pers124,29,middle,male
pers125,64,middle,female
